{Instant food products} -> {hamburger meat} (conf: 0.380, supp: 0.003, lift: 11.421, conv: 1.559)
{pasta} -> {tropical fruit} (conf: 0.149, supp: 0.002, lift: 1.417, conv: 1.051)
{pasta} -> {whipped/sour cream} (conf: 0.155, supp: 0.002, lift: 2.168, conv: 1.099)
{pasta} -> {whole milk} (conf: 0.405, supp: 0.006, lift: 1.587, conv: 1.252)
{pasta} -> {yogurt} (conf: 0.209, supp: 0.003, lift: 1.501, conv: 1.088)
{pickled vegetables} -> {pastry} (conf: 0.108, supp: 0.002, lift: 1.213, conv: 1.021)
{pip fruit} -> {pastry} (conf: 0.141, supp: 0.011, lift: 1.586, conv: 1.061)
{pastry} -> {pip fruit} (conf: 0.120, supp: 0.011, lift: 1.586, conv: 1.050)
{pork} -> {pastry} (conf: 0.109, supp: 0.006, lift: 1.229, conv: 1.023)
{pot plants} -> {pastry} (conf: 0.129, supp: 0.002, lift: 1.455, conv: 1.046)
{processed cheese} -> {pastry} (conf: 0.178, supp: 0.003, lift: 2.000, conv: 1.108)
{red/blush wine} -> {pastry} (conf: 0.106, supp: 0.002, lift: 1.189, conv: 1.019)
{rolls/buns} -> {pastry} (conf: 0.114, supp: 0.021, lift: 1.280, conv: 1.028)
{pastry} -> {rolls/buns} (conf: 0.235, supp: 0.021, lift: 1.280, conv: 1.067)
{root vegetables} -> {pastry} (conf: 0.101, supp: 0.011, lift: 1.132, conv: 1.013)
{pastry} -> {root vegetables} (conf: 0.123, supp: 0.011, lift: 1.132, conv: 1.016)
{salty snack} -> {pastry} (conf: 0.137, supp: 0.005, lift: 1.541, conv: 1.056)
{sausage} -> {pastry} (conf: 0.133, supp: 0.013, lift: 1.496, conv: 1.051)
{pastry} -> {sausage} (conf: 0.141, supp: 0.013, lift: 1.496, conv: 1.054)
{seasonal products} -> {pastry} (conf: 0.136, supp: 0.002, lift: 1.525, conv: 1.054)
{semi-finished bread} -> {pastry} (conf: 0.184, supp: 0.003, lift: 2.067, conv: 1.116)
{shopping bags} -> {pastry} (conf: 0.121, supp: 0.012, lift: 1.357, conv: 1.036)
{pastry} -> {shopping bags} (conf: 0.134, supp: 0.012, lift: 1.357, conv: 1.041)
{sliced cheese} -> {pastry} (conf: 0.149, supp: 0.004, lift: 1.679, conv: 1.071)
{soda} -> {pastry} (conf: 0.121, supp: 0.021, lift: 1.357, conv: 1.036)
{pastry} -> {soda} (conf: 0.237, supp: 0.021, lift: 1.357, conv: 1.081)
{soft cheese} -> {pastry} (conf: 0.161, supp: 0.003, lift: 1.806, conv: 1.085)
{specialty bar} -> {pastry} (conf: 0.156, supp: 0.004, lift: 1.755, conv: 1.080)
{specialty chocolate} -> {pastry} (conf: 0.124, supp: 0.004, lift: 1.391, conv: 1.040)
{spread cheese} -> {pastry} (conf: 0.155, supp: 0.002, lift: 1.737, conv: 1.078)
{sugar} -> {pastry} (conf: 0.153, supp: 0.005, lift: 1.721, conv: 1.076)
{tropical fruit} -> {pastry} (conf: 0.126, supp: 0.013, lift: 1.416, conv: 1.042)
{pastry} -> {tropical fruit} (conf: 0.149, supp: 0.013, lift: 1.416, conv: 1.051)
{turkey} -> {pastry} (conf: 0.237, supp: 0.002, lift: 2.670, conv: 1.195)
{waffles} -> {pastry} (conf: 0.183, supp: 0.007, lift: 2.052, conv: 1.114)
{whipped/sour cream} -> {pastry} (conf: 0.105, supp: 0.008, lift: 1.180, conv: 1.018)
{white bread} -> {pastry} (conf: 0.133, supp: 0.006, lift: 1.493, conv: 1.051)
{whole milk} -> {pastry} (conf: 0.130, supp: 0.033, lift: 1.463, conv: 1.047)
{pastry} -> {whole milk} (conf: 0.374, supp: 0.033, lift: 1.463, conv: 1.189)
{yogurt} -> {pastry} (conf: 0.127, supp: 0.018, lift: 1.425, conv: 1.043)
{pastry} -> {yogurt} (conf: 0.199, supp: 0.018, lift: 1.425, conv: 1.074)
{pet care} -> {soda} (conf: 0.226, supp: 0.002, lift: 1.295, conv: 1.066)
{pet care} -> {whole milk} (conf: 0.280, supp: 0.003, lift: 1.094, conv: 1.033)
{photo/film} -> {whole milk} (conf: 0.253, supp: 0.002, lift: 0.989, conv: 0.996)
{pickled vegetables} -> {pip fruit} (conf: 0.136, supp: 0.002, lift: 1.803, conv: 1.070)
{pickled vegetables} -> {rolls/buns} (conf: 0.239, supp: 0.004, lift: 1.297, conv: 1.072)
{pickled vegetables} -> {root vegetables} (conf: 0.227, supp: 0.004, lift: 2.085, conv: 1.153)
{pickled vegetables} -> {sausage} (conf: 0.170, supp: 0.003, lift: 1.814, conv: 1.092)
{pickled vegetables} -> {shopping bags} (conf: 0.119, supp: 0.002, lift: 1.211, conv: 1.024)
{pickled vegetables} -> {soda} (conf: 0.227, supp: 0.004, lift: 1.303, conv: 1.068)
{pickled vegetables} -> {tropical fruit} (conf: 0.210, supp: 0.004, lift: 2.003, conv: 1.133)
{pickled vegetables} -> {whole milk} (conf: 0.398, supp: 0.007, lift: 1.557, conv: 1.236)
{pickled vegetables} -> {yogurt} (conf: 0.210, supp: 0.004, lift: 1.507, conv: 1.090)
{pork} -> {pip fruit} (conf: 0.106, supp: 0.006, lift: 1.399, conv: 1.034)
{pot plants} -> {pip fruit} (conf: 0.124, supp: 0.002, lift: 1.633, conv: 1.055)
{processed cheese} -> {pip fruit} (conf: 0.141, supp: 0.002, lift: 1.865, conv: 1.076)
{pip fruit} -> {rolls/buns} (conf: 0.184, supp: 0.014, lift: 1.001, conv: 1.000)
{root vegetables} -> {pip fruit} (conf: 0.143, supp: 0.016, lift: 1.887, conv: 1.078)
{pip fruit} -> {root vegetables} (conf: 0.206, supp: 0.016, lift: 1.887, conv: 1.122)
{salty snack} -> {pip fruit} (conf: 0.108, supp: 0.004, lift: 1.421, conv: 1.036)
{sausage} -> {pip fruit} (conf: 0.115, supp: 0.011, lift: 1.516, conv: 1.044)
{pip fruit} -> {sausage} (conf: 0.142, supp: 0.011, lift: 1.516, conv: 1.057)
{semi-finished bread} -> {pip fruit} (conf: 0.155, supp: 0.003, lift: 2.051, conv: 1.094)
{pip fruit} -> {shopping bags} (conf: 0.124, supp: 0.009, lift: 1.255, conv: 1.029)
{sliced cheese} -> {pip fruit} (conf: 0.170, supp: 0.004, lift: 2.249, conv: 1.114)
{pip fruit} -> {soda} (conf: 0.176, supp: 0.013, lift: 1.010, conv: 1.002)
{soft cheese} -> {pip fruit} (conf: 0.173, supp: 0.003, lift: 2.282, conv: 1.117)
{sugar} -> {pip fruit} (conf: 0.141, supp: 0.005, lift: 1.866, conv: 1.076)
{tropical fruit} -> {pip fruit} (conf: 0.195, supp: 0.020, lift: 2.575, conv: 1.148)
{pip fruit} -> {tropical fruit} (conf: 0.270, supp: 0.020, lift: 2.575, conv: 1.226)
{waffles} -> {pip fruit} (conf: 0.116, supp: 0.004, lift: 1.539, conv: 1.046)
{whipped/sour cream} -> {pip fruit} (conf: 0.129, supp: 0.009, lift: 1.706, conv: 1.061)
{pip fruit} -> {whipped/sour cream} (conf: 0.122, supp: 0.009, lift: 1.706, conv: 1.058)
{white bread} -> {pip fruit} (conf: 0.157, supp: 0.007, lift: 2.075, conv: 1.097)
{whole milk} -> {pip fruit} (conf: 0.118, supp: 0.030, lift: 1.557, conv: 1.048)
{pip fruit} -> {whole milk} (conf: 0.398, supp: 0.030, lift: 1.557, conv: 1.236)
{yogurt} -> {pip fruit} (conf: 0.129, supp: 0.018, lift: 1.705, conv: 1.061)
{pip fruit} -> {yogurt} (conf: 0.238, supp: 0.018, lift: 1.705, conv: 1.129)
{popcorn} -> {salty snack} (conf: 0.310, supp: 0.002, lift: 8.192, conv: 1.394)
{popcorn} -> {soda} (conf: 0.268, supp: 0.002, lift: 1.535, conv: 1.127)
{popcorn} -> {whole milk} (conf: 0.366, supp: 0.003, lift: 1.433, conv: 1.175)
{pork} -> {rolls/buns} (conf: 0.196, supp: 0.011, lift: 1.064, conv: 1.015)
{root vegetables} -> {pork} (conf: 0.125, supp: 0.014, lift: 2.168, conv: 1.077)
{pork} -> {root vegetables} (conf: 0.236, supp: 0.014, lift: 2.168, conv: 1.167)
{pork} -> {sausage} (conf: 0.113, supp: 0.007, lift: 1.201, conv: 1.021)
{semi-finished bread} -> {pork} (conf: 0.103, supp: 0.002, lift: 1.794, conv: 1.051)
{pork} -> {shopping bags} (conf: 0.111, supp: 0.006, lift: 1.128, conv: 1.014)
{sliced cheese} -> {pork} (conf: 0.116, supp: 0.003, lift: 2.015, conv: 1.066)
{pork} -> {soda} (conf: 0.206, supp: 0.012, lift: 1.183, conv: 1.040)
{sugar} -> {pork} (conf: 0.132, supp: 0.004, lift: 2.292, conv: 1.086)
{pork} -> {tropical fruit} (conf: 0.148, supp: 0.009, lift: 1.412, conv: 1.051)
{whipped/sour cream} -> {pork} (conf: 0.115, supp: 0.008, lift: 1.993, conv: 1.065)
{pork} -> {whipped/sour cream} (conf: 0.143, supp: 0.008, lift: 1.993, conv: 1.083)
{pork} -> {whole milk} (conf: 0.384, supp: 0.022, lift: 1.505, conv: 1.210)
{pork} -> {yogurt} (conf: 0.166, supp: 0.010, lift: 1.188, conv: 1.032)
{pot plants} -> {rolls/buns} (conf: 0.165, supp: 0.003, lift: 0.895, conv: 0.977)
{pot plants} -> {root vegetables} (conf: 0.129, supp: 0.002, lift: 1.187, conv: 1.023)
{pot plants} -> {shopping bags} (conf: 0.106, supp: 0.002, lift: 1.075, conv: 1.008)
{pot plants} -> {soda} (conf: 0.159, supp: 0.003, lift: 0.911, conv: 0.982)
{pot plants} -> {tropical fruit} (conf: 0.176, supp: 0.003, lift: 1.682, conv: 1.087)
{pot plants} -> {whipped/sour cream} (conf: 0.112, supp: 0.002, lift: 1.559, conv: 1.045)
{pot plants} -> {whole milk} (conf: 0.400, supp: 0.007, lift: 1.565, conv: 1.241)
{pot plants} -> {yogurt} (conf: 0.224, supp: 0.004, lift: 1.602, conv: 1.108)
{processed cheese} -> {rolls/buns} (conf: 0.282, supp: 0.005, lift: 1.534, conv: 1.137)
{processed cheese} -> {root vegetables} (conf: 0.190, supp: 0.003, lift: 1.745, conv: 1.100)
{processed cheese} -> {sausage} (conf: 0.202, supp: 0.003, lift: 2.155, conv: 1.136)
{processed cheese} -> {shopping bags} (conf: 0.123, supp: 0.002, lift: 1.245, conv: 1.028)
{processed cheese} -> {soda} (conf: 0.319, supp: 0.005, lift: 1.829, conv: 1.212)
{processed cheese} -> {tropical fruit} (conf: 0.258, supp: 0.004, lift: 2.456, conv: 1.206)
{processed cheese} -> {whipped/sour cream} (conf: 0.117, supp: 0.002, lift: 1.626, conv: 1.051)
{processed cheese} -> {white bread} (conf: 0.252, supp: 0.004, lift: 5.975, conv: 1.280)
{processed cheese} -> {whole milk} (conf: 0.423, supp: 0.007, lift: 1.657, conv: 1.291)
{processed cheese} -> {yogurt} (conf: 0.160, supp: 0.003, lift: 1.143, conv: 1.024)
{red/blush wine} -> {rolls/buns} (conf: 0.206, supp: 0.004, lift: 1.122, conv: 1.028)
{red/blush wine} -> {root vegetables} (conf: 0.132, supp: 0.003, lift: 1.214, conv: 1.027)
{red/blush wine} -> {sausage} (conf: 0.127, supp: 0.002, lift: 1.352, conv: 1.038)
{red/blush wine} -> {shopping bags} (conf: 0.138, supp: 0.003, lift: 1.396, conv: 1.045)
{red/blush wine} -> {soda} (conf: 0.238, supp: 0.005, lift: 1.365, conv: 1.084)
{red/blush wine} -> {tropical fruit} (conf: 0.132, supp: 0.003, lift: 1.261, conv: 1.032)
{red/blush wine} -> {whole milk} (conf: 0.206, supp: 0.004, lift: 0.808, conv: 0.938)
{red/blush wine} -> {yogurt} (conf: 0.127, supp: 0.002, lift: 0.910, conv: 0.986)
{rice} -> {root vegetables} (conf: 0.413, supp: 0.003, lift: 3.792, conv: 1.519)
{rice} -> {tropical fruit} (conf: 0.253, supp: 0.002, lift: 2.414, conv: 1.199)
{rice} -> {whole milk} (conf: 0.613, supp: 0.005, lift: 2.400, conv: 1.925)
{rice} -> {yogurt} (conf: 0.307, supp: 0.002, lift: 2.198, conv: 1.241)
{roll products } -> {rolls/buns} (conf: 0.208, supp: 0.002, lift: 1.130, conv: 1.030)
{roll products } -> {root vegetables} (conf: 0.307, supp: 0.003, lift: 2.816, conv: 1.286)
{roll products } -> {sausage} (conf: 0.188, supp: 0.002, lift: 2.002, conv: 1.116)
{roll products } -> {tropical fruit} (conf: 0.198, supp: 0.002, lift: 1.887, conv: 1.116)
{roll products } -> {whipped/sour cream} (conf: 0.178, supp: 0.002, lift: 2.486, conv: 1.130)
{roll products } -> {whole milk} (conf: 0.455, supp: 0.005, lift: 1.782, conv: 1.367)
{roll products } -> {yogurt} (conf: 0.218, supp: 0.002, lift: 1.561, conv: 1.100)
{root vegetables} -> {rolls/buns} (conf: 0.223, supp: 0.024, lift: 1.212, conv: 1.050)
{rolls/buns} -> {root vegetables} (conf: 0.132, supp: 0.024, lift: 1.212, conv: 1.027)
{salt} -> {rolls/buns} (conf: 0.198, supp: 0.002, lift: 1.077, conv: 1.018)
{salty snack} -> {rolls/buns} (conf: 0.132, supp: 0.005, lift: 0.716, conv: 0.940)
{sausage} -> {rolls/buns} (conf: 0.326, supp: 0.031, lift: 1.771, conv: 1.210)
{rolls/buns} -> {sausage} (conf: 0.166, supp: 0.031, lift: 1.771, conv: 1.087)
{seasonal products} -> {rolls/buns} (conf: 0.193, supp: 0.003, lift: 1.049, conv: 1.011)
{semi-finished bread} -> {rolls/buns} (conf: 0.195, supp: 0.003, lift: 1.062, conv: 1.014)
{shopping bags} -> {rolls/buns} (conf: 0.198, supp: 0.020, lift: 1.077, conv: 1.018)
{rolls/buns} -> {shopping bags} (conf: 0.106, supp: 0.020, lift: 1.077, conv: 1.009)
{sliced cheese} -> {rolls/buns} (conf: 0.311, supp: 0.008, lift: 1.692, conv: 1.185)
{soda} -> {rolls/buns} (conf: 0.220, supp: 0.038, lift: 1.195, conv: 1.046)
{rolls/buns} -> {soda} (conf: 0.208, supp: 0.038, lift: 1.195, conv: 1.043)
{soft cheese} -> {rolls/buns} (conf: 0.315, supp: 0.005, lift: 1.715, conv: 1.192)
{specialty bar} -> {rolls/buns} (conf: 0.204, supp: 0.006, lift: 1.112, conv: 1.026)
{specialty chocolate} -> {rolls/buns} (conf: 0.184, supp: 0.006, lift: 1.000, conv: 1.000)
{spread cheese} -> {rolls/buns} (conf: 0.373, supp: 0.004, lift: 2.026, conv: 1.301)
{sugar} -> {rolls/buns} (conf: 0.207, supp: 0.007, lift: 1.127, conv: 1.029)
{tropical fruit} -> {rolls/buns} (conf: 0.234, supp: 0.025, lift: 1.275, conv: 1.066)
{rolls/buns} -> {tropical fruit} (conf: 0.134, supp: 0.025, lift: 1.275, conv: 1.033)
{turkey} -> {rolls/buns} (conf: 0.237, supp: 0.002, lift: 1.291, conv: 1.070)
{waffles} -> {rolls/buns} (conf: 0.238, supp: 0.009, lift: 1.294, conv: 1.071)
{whipped/sour cream} -> {rolls/buns} (conf: 0.204, supp: 0.015, lift: 1.110, conv: 1.026)
{white bread} -> {rolls/buns} (conf: 0.155, supp: 0.007, lift: 0.840, conv: 0.965)
{white wine} -> {rolls/buns} (conf: 0.139, supp: 0.003, lift: 0.756, conv: 0.948)
{whole milk} -> {rolls/buns} (conf: 0.222, supp: 0.057, lift: 1.205, conv: 1.048)
{rolls/buns} -> {whole milk} (conf: 0.308, supp: 0.057, lift: 1.205, conv: 1.076)
{yogurt} -> {rolls/buns} (conf: 0.246, supp: 0.034, lift: 1.339, conv: 1.083)
{rolls/buns} -> {yogurt} (conf: 0.187, supp: 0.034, lift: 1.339, conv: 1.058)
{salt} -> {root vegetables} (conf: 0.255, supp: 0.003, lift: 2.337, conv: 1.196)
{salty snack} -> {root vegetables} (conf: 0.132, supp: 0.005, lift: 1.208, conv: 1.026)
{sausage} -> {root vegetables} (conf: 0.159, supp: 0.015, lift: 1.460, conv: 1.060)
{root vegetables} -> {sausage} (conf: 0.137, supp: 0.015, lift: 1.460, conv: 1.050)
{seasonal products} -> {root vegetables} (conf: 0.121, supp: 0.002, lift: 1.114, conv: 1.014)
{semi-finished bread} -> {root vegetables} (conf: 0.132, supp: 0.002, lift: 1.213, conv: 1.027)
{shopping bags} -> {root vegetables} (conf: 0.130, supp: 0.013, lift: 1.193, conv: 1.024)
{root vegetables} -> {shopping bags} (conf: 0.118, supp: 0.013, lift: 1.193, conv: 1.022)
{sliced cheese} -> {root vegetables} (conf: 0.228, supp: 0.006, lift: 2.094, conv: 1.154)
{soda} -> {root vegetables} (conf: 0.107, supp: 0.019, lift: 0.979, conv: 0.997)
{root vegetables} -> {soda} (conf: 0.171, supp: 0.019, lift: 0.979, conv: 0.996)
{soft cheese} -> {root vegetables} (conf: 0.196, supp: 0.003, lift: 1.802, conv: 1.109)
{soups} -> {root vegetables} (conf: 0.254, supp: 0.002, lift: 2.328, conv: 1.194)
{specialty cheese} -> {root vegetables} (conf: 0.250, supp: 0.002, lift: 2.294, conv: 1.188)
{specialty chocolate} -> {root vegetables} (conf: 0.110, supp: 0.003, lift: 1.013, conv: 1.002)
{spread cheese} -> {root vegetables} (conf: 0.155, supp: 0.002, lift: 1.418, conv: 1.054)
{sugar} -> {root vegetables} (conf: 0.189, supp: 0.006, lift: 1.736, conv: 1.099)
{sweet spreads} -> {root vegetables} (conf: 0.225, supp: 0.002, lift: 2.062, conv: 1.149)
{tropical fruit} -> {root vegetables} (conf: 0.201, supp: 0.021, lift: 1.840, conv: 1.115)
{root vegetables} -> {tropical fruit} (conf: 0.193, supp: 0.021, lift: 1.840, conv: 1.109)
{turkey} -> {root vegetables} (conf: 0.312, supp: 0.003, lift: 2.867, conv: 1.296)
{waffles} -> {root vegetables} (conf: 0.172, supp: 0.007, lift: 1.578, conv: 1.076)
{whipped/sour cream} -> {root vegetables} (conf: 0.238, supp: 0.017, lift: 2.186, conv: 1.170)
{root vegetables} -> {whipped/sour cream} (conf: 0.157, supp: 0.017, lift: 2.186, conv: 1.101)
{white bread} -> {root vegetables} (conf: 0.188, supp: 0.008, lift: 1.729, conv: 1.098)
{whole milk} -> {root vegetables} (conf: 0.191, supp: 0.049, lift: 1.756, conv: 1.102)
{root vegetables} -> {whole milk} (conf: 0.449, supp: 0.049, lift: 1.756, conv: 1.350)
{yogurt} -> {root vegetables} (conf: 0.185, supp: 0.026, lift: 1.698, conv: 1.093)
{root vegetables} -> {yogurt} (conf: 0.237, supp: 0.026, lift: 1.698, conv: 1.128)
{rum} -> {whole milk} (conf: 0.386, supp: 0.002, lift: 1.512, conv: 1.213)
{salt} -> {sausage} (conf: 0.160, supp: 0.002, lift: 1.707, conv: 1.079)
{salt} -> {sugar} (conf: 0.170, supp: 0.002, lift: 5.015, conv: 1.164)
{salt} -> {whipped/sour cream} (conf: 0.198, supp: 0.002, lift: 2.764, conv: 1.158)
{salt} -> {whole milk} (conf: 0.358, supp: 0.004, lift: 1.403, conv: 1.161)
{salt} -> {yogurt} (conf: 0.208, supp: 0.002, lift: 1.488, conv: 1.086)
{salty snack} -> {sausage} (conf: 0.140, supp: 0.005, lift: 1.488, conv: 1.053)
{salty snack} -> {shopping bags} (conf: 0.159, supp: 0.006, lift: 1.610, conv: 1.071)
{salty snack} -> {soda} (conf: 0.247, supp: 0.009, lift: 1.418, conv: 1.097)
{salty snack} -> {tropical fruit} (conf: 0.148, supp: 0.006, lift: 1.409, conv: 1.050)
{waffles} -> {salty snack} (conf: 0.101, supp: 0.004, lift: 2.658, conv: 1.070)
{salty snack} -> {waffles} (conf: 0.102, supp: 0.004, lift: 2.658, conv: 1.071)
{salty snack} -> {whipped/sour cream} (conf: 0.137, supp: 0.005, lift: 1.913, conv: 1.076)
{salty snack} -> {whole milk} (conf: 0.296, supp: 0.011, lift: 1.157, conv: 1.057)
{salty snack} -> {yogurt} (conf: 0.164, supp: 0.006, lift: 1.175, conv: 1.029)
{sauces} -> {whole milk} (conf: 0.389, supp: 0.002, lift: 1.522, conv: 1.218)
{seasonal products} -> {sausage} (conf: 0.136, supp: 0.002, lift: 1.445, conv: 1.048)
{semi-finished bread} -> {sausage} (conf: 0.161, supp: 0.003, lift: 1.713, conv: 1.080)
{shopping bags} -> {sausage} (conf: 0.159, supp: 0.016, lift: 1.692, conv: 1.077)
{sausage} -> {shopping bags} (conf: 0.167, supp: 0.016, lift: 1.692, conv: 1.082)
{sliced cheese} -> {sausage} (conf: 0.286, supp: 0.007, lift: 3.047, conv: 1.270)
{soda} -> {sausage} (conf: 0.139, supp: 0.024, lift: 1.483, conv: 1.053)
{sausage} -> {soda} (conf: 0.259, supp: 0.024, lift: 1.483, conv: 1.114)
{soft cheese} -> {sausage} (conf: 0.202, supp: 0.003, lift: 2.154, conv: 1.136)
{spread cheese} -> {sausage} (conf: 0.218, supp: 0.002, lift: 2.322, conv: 1.159)
{sugar} -> {sausage} (conf: 0.108, supp: 0.004, lift: 1.151, conv: 1.016)
{tropical fruit} -> {sausage} (conf: 0.133, supp: 0.014, lift: 1.413, conv: 1.045)
{sausage} -> {tropical fruit} (conf: 0.148, supp: 0.014, lift: 1.413, conv: 1.051)
{waffles} -> {sausage} (conf: 0.130, supp: 0.005, lift: 1.380, conv: 1.041)
{whipped/sour cream} -> {sausage} (conf: 0.126, supp: 0.009, lift: 1.344, conv: 1.037)
{white bread} -> {sausage} (conf: 0.171, supp: 0.007, lift: 1.825, conv: 1.094)
{white wine} -> {sausage} (conf: 0.128, supp: 0.002, lift: 1.366, conv: 1.039)
{whole milk} -> {sausage} (conf: 0.117, supp: 0.030, lift: 1.245, conv: 1.026)
{sausage} -> {whole milk} (conf: 0.318, supp: 0.030, lift: 1.245, conv: 1.092)
{yogurt} -> {sausage} (conf: 0.141, supp: 0.020, lift: 1.497, conv: 1.054)
{sausage} -> {yogurt} (conf: 0.209, supp: 0.020, lift: 1.497, conv: 1.088)
{seasonal products} -> {shopping bags} (conf: 0.179, supp: 0.003, lift: 1.812, conv: 1.097)
{seasonal products} -> {soda} (conf: 0.186, supp: 0.003, lift: 1.065, conv: 1.014)
{seasonal products} -> {tropical fruit} (conf: 0.164, supp: 0.002, lift: 1.566, conv: 1.071)
{seasonal products} -> {whole milk} (conf: 0.264, supp: 0.004, lift: 1.034, conv: 1.012)
{seasonal products} -> {yogurt} (conf: 0.229, supp: 0.003, lift: 1.638, conv: 1.115)
{semi-finished bread} -> {shopping bags} (conf: 0.184, supp: 0.003, lift: 1.867, conv: 1.105)
{semi-finished bread} -> {soda} (conf: 0.230, supp: 0.004, lift: 1.318, conv: 1.072)
{semi-finished bread} -> {tropical fruit} (conf: 0.241, supp: 0.004, lift: 2.300, conv: 1.180)
{semi-finished bread} -> {whipped/sour cream} (conf: 0.138, supp: 0.002, lift: 1.924, conv: 1.077)
{semi-finished bread} -> {whole milk} (conf: 0.402, supp: 0.007, lift: 1.574, conv: 1.246)
{semi-finished bread} -> {yogurt} (conf: 0.201, supp: 0.004, lift: 1.442, conv: 1.077)
{sliced cheese} -> {shopping bags} (conf: 0.178, supp: 0.004, lift: 1.811, conv: 1.097)
{soda} -> {shopping bags} (conf: 0.141, supp: 0.025, lift: 1.432, conv: 1.050)
{shopping bags} -> {soda} (conf: 0.250, supp: 0.025, lift: 1.432, conv: 1.100)
{soft cheese} -> {shopping bags} (conf: 0.167, supp: 0.003, lift: 1.692, conv: 1.082)
{specialty bar} -> {shopping bags} (conf: 0.126, supp: 0.003, lift: 1.283, conv: 1.032)
{specialty chocolate} -> {shopping bags} (conf: 0.157, supp: 0.005, lift: 1.595, conv: 1.070)
{spread cheese} -> {shopping bags} (conf: 0.191, supp: 0.002, lift: 1.938, conv: 1.114)
{sugar} -> {shopping bags} (conf: 0.105, supp: 0.004, lift: 1.067, conv: 1.007)
{sweet spreads} -> {shopping bags} (conf: 0.213, supp: 0.002, lift: 2.167, conv: 1.146)
{tropical fruit} -> {shopping bags} (conf: 0.129, supp: 0.014, lift: 1.308, conv: 1.035)
{shopping bags} -> {tropical fruit} (conf: 0.137, supp: 0.014, lift: 1.308, conv: 1.037)
{waffles} -> {shopping bags} (conf: 0.143, supp: 0.005, lift: 1.450, conv: 1.052)
{whipped/sour cream} -> {shopping bags} (conf: 0.111, supp: 0.008, lift: 1.123, conv: 1.014)
{white bread} -> {shopping bags} (conf: 0.176, supp: 0.007, lift: 1.790, conv: 1.094)
{white wine} -> {shopping bags} (conf: 0.176, supp: 0.003, lift: 1.791, conv: 1.095)
{shopping bags} -> {whole milk} (conf: 0.249, supp: 0.025, lift: 0.973, conv: 0.991)
{yogurt} -> {shopping bags} (conf: 0.109, supp: 0.015, lift: 1.110, conv: 1.012)
{shopping bags} -> {yogurt} (conf: 0.155, supp: 0.015, lift: 1.110, conv: 1.018)
{sliced cheese} -> {soda} (conf: 0.207, supp: 0.005, lift: 1.190, conv: 1.042)
{soft cheese} -> {sliced cheese} (conf: 0.107, supp: 0.002, lift: 4.372, conv: 1.093)
{sliced cheese} -> {tropical fruit} (conf: 0.216, supp: 0.005, lift: 2.056, conv: 1.141)
{sliced cheese} -> {whipped/sour cream} (conf: 0.158, supp: 0.004, lift: 2.200, conv: 1.102)
{sliced cheese} -> {whole milk} (conf: 0.440, supp: 0.011, lift: 1.721, conv: 1.329)
{sliced cheese} -> {yogurt} (conf: 0.328, supp: 0.008, lift: 2.350, conv: 1.280)
{soft cheese} -> {soda} (conf: 0.161, supp: 0.003, lift: 0.922, conv: 0.984)
{specialty bar} -> {soda} (conf: 0.264, supp: 0.007, lift: 1.514, conv: 1.122)
{specialty chocolate} -> {soda} (conf: 0.207, supp: 0.006, lift: 1.189, conv: 1.042)
{spread cheese} -> {soda} (conf: 0.282, supp: 0.003, lift: 1.616, conv: 1.150)
{sugar} -> {soda} (conf: 0.216, supp: 0.007, lift: 1.240, conv: 1.053)
{sweet spreads} -> {soda} (conf: 0.281, supp: 0.003, lift: 1.611, conv: 1.148)
{tropical fruit} -> {soda} (conf: 0.199, supp: 0.021, lift: 1.139, conv: 1.030)
{soda} -> {tropical fruit} (conf: 0.120, supp: 0.021, lift: 1.139, conv: 1.017)
{waffles} -> {soda} (conf: 0.249, supp: 0.010, lift: 1.426, conv: 1.099)
{whipped/sour cream} -> {soda} (conf: 0.162, supp: 0.012, lift: 0.927, conv: 0.985)
{white bread} -> {soda} (conf: 0.244, supp: 0.010, lift: 1.399, conv: 1.092)
{white wine} -> {soda} (conf: 0.193, supp: 0.004, lift: 1.104, conv: 1.022)
{whole milk} -> {soda} (conf: 0.157, supp: 0.040, lift: 0.899, conv: 0.979)
{soda} -> {whole milk} (conf: 0.230, supp: 0.040, lift: 0.899, conv: 0.967)
{yogurt} -> {soda} (conf: 0.196, supp: 0.027, lift: 1.124, conv: 1.027)
{soda} -> {yogurt} (conf: 0.157, supp: 0.027, lift: 1.124, conv: 1.021)
{soft cheese} -> {tropical fruit} (conf: 0.190, supp: 0.003, lift: 1.815, conv: 1.106)
{soft cheese} -> {whipped/sour cream} (conf: 0.179, supp: 0.003, lift: 2.491, conv: 1.130)
{soft cheese} -> {white bread} (conf: 0.113, supp: 0.002, lift: 2.687, conv: 1.080)
{soft cheese} -> {whole milk} (conf: 0.440, supp: 0.008, lift: 1.724, conv: 1.331)
{soft cheese} -> {yogurt} (conf: 0.351, supp: 0.006, lift: 2.517, conv: 1.326)
{softener} -> {whole milk} (conf: 0.389, supp: 0.002, lift: 1.522, conv: 1.218)
{soups} -> {whole milk} (conf: 0.433, supp: 0.003, lift: 1.694, conv: 1.313)
{specialty bar} -> {tropical fruit} (conf: 0.119, supp: 0.003, lift: 1.134, conv: 1.016)
{specialty bar} -> {waffles} (conf: 0.104, supp: 0.003, lift: 2.708, conv: 1.073)
